goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Drone Survey,16.078620083620084,14.2790367040367,17.942012068949566
approaching,2.A,Dispatch Squad,12.951379546379547,10.8587931998557,15.176449328449332
approaching,2.B,Mortar Strike,12.683529618529617,10.829268728956228,14.695584195896695
approaching,2.C,Carpet Bomb,12.359710937210934,10.455375006937505,14.40457851176601
approaching,2.D,Nuclear Strike,14.119340566840567,11.386355549543048,17.187784199596702
approaching,3.A,Req. for Weapon,1.3196652421652422,0.9541582977207977,1.729190705128205
approaching,3.B,Req. for Nuclear,1.3238319088319088,0.9727115384615382,1.7025518162393163
approaching,3.C,Req. for Assistance,5.067427664927664,3.955568778443778,6.290353526103523
approaching,3.D,Chat w/ civilians,3.2572552447552447,2.1902571386946383,4.412566287878788
approaching,4.A,Tac. Analysis Low,2.742915602915603,1.9152244352869359,3.593391451141451
approaching,4.B,Tac. Analysis Med.,9.007824490324488,7.572216235153736,10.535118922743923
approaching,4.C,Tac. Analysis High,9.088499093499092,7.535456074018576,10.655146855459355
avoidance,1.A,Drone Survey,29.3132289007289,26.832137700262688,31.8948237873238
avoidance,2.A,Dispatch Squad,6.217486679986679,4.576128697691197,7.972649017649014
avoidance,2.B,Mortar Strike,5.78001258001258,4.270623254060754,7.532027243589742
avoidance,2.C,Carpet Bomb,4.099029211529211,2.9060111531986528,5.4631219821844805
avoidance,2.D,Nuclear Strike,25.66099502349502,22.473654482091987,29.109845582658096
avoidance,3.A,Req. for Weapon,0.7273809523809522,0.41666666666666674,1.07860119047619
avoidance,3.B,Req. for Nuclear,1.6395664520664521,1.0865250490250493,2.2271783078033076
avoidance,3.C,Req. for Assistance,4.949817774817774,3.5996682368557362,6.427803631553629
avoidance,3.D,Chat w/ civilians,3.447853535353535,1.8359537337662342,5.441712662337659
avoidance,4.A,Tac. Analysis Low,2.403215765715766,1.534136153198653,3.4289259929884928
avoidance,4.B,Tac. Analysis Med.,9.554645817145817,7.366994151681651,11.94713652088652
avoidance,4.C,Tac. Analysis High,6.206767306767307,4.438199555074555,8.094461267898769
