goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Drone Survey,15.396160528387215,14.221606164612018,16.715061423682258
approaching,2.A,Dispatch Squad,9.005950713884673,7.402893066451048,10.598528742447485
approaching,2.B,Mortar Strike,6.394655609318847,5.056760574447733,7.682330952238306
approaching,2.C,Carpet Bomb,9.056911437836957,7.825197020803623,10.276004405279261
approaching,2.D,Nuclear Strike,11.865945051282333,10.257447182813369,13.558704089368133
approaching,3.A,Req. for Weapon,3.8417201819487707,2.8029984372138013,4.979336995212136
approaching,3.B,Req. for Nuclear,4.318736704073988,3.309709494314835,5.337323729793689
approaching,3.C,Req. for Assistance,10.05718449342922,8.789211462590055,11.291271578001789
approaching,3.D,Chat w/ civilians,2.6497637051087297,1.8456240536732527,3.517574022991001
approaching,4.A,Tac. Analysis Low,3.080784651928027,2.230789603117189,4.032845833839478
approaching,4.B,Tac. Analysis Med.,11.728672094485587,10.543479130814859,12.97524707845415
approaching,4.C,Tac. Analysis High,12.603514828315642,11.073849393070777,14.119207560970727
avoidance,1.A,Drone Survey,17.05262576261028,15.88508074527811,18.367348693832827
avoidance,2.A,Dispatch Squad,4.808526458062061,3.5239105506636466,6.175460330218457
avoidance,2.B,Mortar Strike,7.1334941803982055,5.894990976086178,8.488083018847338
avoidance,2.C,Carpet Bomb,8.221084367988393,6.955873329027353,9.52552692555982
avoidance,2.D,Nuclear Strike,14.3051752770793,12.887803243368259,15.854700034872245
avoidance,3.A,Req. for Weapon,3.132411929315954,2.1735657101756174,4.183528004288452
avoidance,3.B,Req. for Nuclear,6.315773785897624,5.011275155872676,7.579082243006392
avoidance,3.C,Req. for Assistance,12.883074948787023,11.624867111302866,14.13342071177018
avoidance,3.D,Chat w/ civilians,2.2485661998819895,1.4703482117297906,3.062938169286853
avoidance,4.A,Tac. Analysis Low,2.7999443968484212,2.0015116204744685,3.6677734034970872
avoidance,4.B,Tac. Analysis Med.,10.719255641159666,9.221036703664414,12.3237267705205
avoidance,4.C,Tac. Analysis High,10.380067051971075,8.839528271436167,11.879510640932855
