goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Drone Survey,17.705465367965367,16.05186688311688,19.37258116883117
approaching,2.A,Dispatch Squad,5.720508658008658,4.9136228354978355,6.60393804112554
approaching,2.B,Mortar Strike,6.574675324675325,5.3785660173160155,7.879673971861473
approaching,2.C,Carpet Bomb,5.023647186147186,3.9008103354978343,6.212242965367966
approaching,2.D,Nuclear Strike,8.114556277056275,5.799985119047619,10.588047889610388
approaching,3.A,Req. for Weapon,7.096699134199135,5.922169913419915,8.244151785714285
approaching,3.B,Req. for Nuclear,4.552651515151515,3.7475378787878775,5.3651704545454555
approaching,3.C,Req. for Assistance,9.0883658008658,7.708241341991344,10.550462662337663
approaching,3.D,Chat w/ civilians,3.7250000000000005,2.816458333333333,4.716666666666666
approaching,4.A,Tac. Analysis Low,8.232575757575756,6.924223484848484,9.579251893939391
approaching,4.B,Tac. Analysis Med.,14.506222943722944,12.908118235930733,16.2568777056277
approaching,4.C,Tac. Analysis High,9.659632034632034,8.219040854978358,10.992474296536797
avoidance,1.A,Drone Survey,17.731953436402215,15.622872895153487,19.917493430113694
avoidance,2.A,Dispatch Squad,4.8878721409832595,3.925326086414893,5.877148104168272
avoidance,2.B,Mortar Strike,5.341218822905457,4.249867069718917,6.486144855947026
avoidance,2.C,Carpet Bomb,3.532823534618863,2.5341708292502063,4.615673008514531
avoidance,2.D,Nuclear Strike,13.53841516521049,11.104152422234517,15.972029143671932
avoidance,3.A,Req. for Weapon,7.293892420601938,5.902407618564484,8.772208932978973
avoidance,3.B,Req. for Nuclear,5.700570553681672,4.750675133591785,6.7489326978958
avoidance,3.C,Req. for Assistance,12.376475523773276,10.089554796553633,14.750748933831531
avoidance,3.D,Chat w/ civilians,3.7245503464543708,2.488357259570495,5.243451766671574
avoidance,4.A,Tac. Analysis Low,3.3401781081499076,2.2734710104557583,4.517581732063532
avoidance,4.B,Tac. Analysis Med.,14.949006282488241,12.833724096031736,17.083429941371865
avoidance,4.C,Tac. Analysis High,7.583043664730297,5.692612820256388,9.721334325396828
